,Tweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Label
0,"TOP! Program Digitalisasi Presiden Jokowi Berhasil. Perdagangan Melalui Sistem Elektronik PMSE yang Mencapai Rp8,2 Triliun.  #jokowikerja #jokowi #indonesia #news #politik #jokowidodo #jokowipresidenku #jokowikerja #jokowihebat #jokowi  https://t.co/4sHIvIme6N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
1,Bukan tanpa alasan Indonesia terpelihara tuan rumah G20. Indonesia sudah biasa menghadapi keragaman budaya .  Pak Jokowi Gas Pol Diplomasi Internasional  https://t.co/PA0uMiKvyQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
2,@SomarwaneSefnat @jokowi Beuuuuhhhhh pokoknya jokowiiiiiiii lah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
3,"@abdramdani @Takkenalmakata heeh ngatur, jokowi ge lain nya dan🤣",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
4,"@jokowi Selamat pak kontrol kontrol kerja anak buah semoga bisa tembus hulu  sampai hilir Presiden sampai RT,bisa kontrol transparansi PASTI NEGERI INI SEJAHTERA ADIL MAKMUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
5,Pesan dari Hacker bjorka untuk Presiden Jokowi :  https://t.co/EYDaAEdgE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
6,@mohmahfudmd @ListyoSigitP @CCICPolri @DivHumas_Polri @jokowi  https://t.co/HL5INhHfvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
7,@XiaoMei_99 Apapun demo nya judulnya lengserkan jokowi..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
8,@jokowi Selamat datang di Pulau Kei Pak Jokowi dan Ibu😊  https://t.co/x5WK1evwX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
9,@AliNgabalinNew Kami sdh muak. Turunkan jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
10,"Aku menemukan sebuah paradoks,bahwa jika kau mencintai Jokowi sampai kau merasa sakit,maka tak akan ada lagi rasa sakit,yang ada hanya cinta dan cinta lagi🌻",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
11,"Presiden Joko Widodo (Jokowi) membentuk tim darurat untuk mengatasi serangan siber, termasuk yang dilakukan oleh peretas (hacker) Bjorka. @PlateJohnny  @kemkominfo   https://t.co/gI0FCOgLc2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
12,Percepat proses penyaluran BSU bagi pekerja turut senang 👍👍  Terimakasih pak Jokowi 👍  https://t.co/Hcm3IXFeHu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
13,"@Mencaricinta99 Polisi mana polisi, yg ngaku NKRI mana.. @DivHumas_Polri , @mohmahfudmd @ListyoSigitP @jokowi tuuh apa mau dibiarin aja polisi brengsek ini..?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
14,"menyepakati pengusulan tiga nama calon Pj Gubernur DKI Jakarta untuk diserahkan kpd Bapak Presiden @jokowi. Masing-masing Kepala Sekretariat Presiden Heru Budi Hartono, Sekretaris Daerah (Sekda) DKI Marullah Matali, serta Dirjen Politik dan Pemerintahan Umum Kemendagri Bahtiar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
15,@kumparan @jokowi pala nenek kaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
16,"Ada yg udah sempat menghitung, berapa ratus kali demo utk lengserkan Jokowi..? Ada yang berhasil..?? . .  https://t.co/817vFYZc68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
17,@mamang_opik @tvOneNews @mohmahfudmd @jokowi ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
18,@budimandjatmiko Dan @Kemenag_RI @YaqutCQoumas @jokowi di buat tak berdaya oleh mayoritas dan sebuah ormas??!🤥🥱🤔sungguh terlaluuu..?!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
19,Peduli pekerja akibat dampak kenaikan BBM. Penyaluran BSU dipercepat.  Presiden Jokowi gaspol pemulihan ekonomi  https://t.co/AYSG30IQhx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
20,@likha___ @ganjarpranowo @jokowi Pilih dia jadi presiden nanti beli solar bisa pake ember..hahahhaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
21,@Andiarief__ Hambalang oh Hambalang.. Akankah bangunan itu jg akan digunakan syuting film horor lagi ? Tnyt rezim Presiden sblm Jokowi benar2 memperhatikan seni🤪🤪🤪🤪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
22,Pak Basuki @KemenPU Mas Gibran @gibran_tweet ini keren  Cc : @jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
23,@jokowi Unfaedah wie.mundur aja loe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
24,Jokowi Punya sistem PDIP punya perangkat Erick ganjar anies punya barisan  Prabowo punya apa? Hanya barisan Partainya itupun 2024 diprediksi longsor barisan Prabowo 2014 2019 non partisan emang siapa? Dimana ? Prabowo berharap kpd JKW PDIP  By data dong 😊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
25,"@Yanua02 @tatakujiyati @jokowi Pembangunan di negara demokrasi dan juga di tengah kota tidaklah mudah walau ada perencanaan design yg bagus. Tidak tepat waktu dan berubah design karena faktor pembebasan lahan yg alot.  Btw, bagaimanapun transportasi massa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
26,He further said that there was no constitutional rule that barred #Jokowi from running as vice president.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
27,"...the President of the Republic of Indonesia, Joko Widodo @jokowi, could run again as vice president in 2024 if political parties could agree on nominating him for the position.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
28,@72Gar7 @STUDSGUY @alvinlie21 @ajies4ra What ??? Program jokowi ahok mana yg mangkrak ??? Ngelawak lu drun ???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
29,@msaid_didu Rakyate dipulosoro...  Turunkan Jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
30,Abadilah selalu @jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
31,@Rezim_Terkutuk Kalo SDH begini ..... Nyesel milih jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
32,@teropongfakta Digunakan untuk apa nih pakde @jokowi harus jelas.. Jangan sampai di korupsi..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
33,"@FurqonBilly @sayhidayat3 @ex_AnakLolina @FraksiPKB @cakimiNOW @PDI_Perjuangan @puanmaharani_ri @KSPgoid @PolhukamRI @Puspen_TNI @BNPTRI @jokowi @BungkusTukang Loe aja bkn melanggar lagi loe SDH menyalahi dlm berbangsa bernegara apalagi bermedsos,loe SDH ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
34,@IIlIIIllIll @BaseAnakFK Marahin pak @jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
35,@likha___ @ganjarpranowo @jokowi Mereka hanya pandai membuat peraturan dan ketentuan tapi miskin solusi dan dampak yg akan ditimbulkannya.... #RezimBudakOligarki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
36,"@ArditErwandha ...Jokowi yth qntl  Jokowi Yang Terhormat Qanaah Teladan... (``,)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
37,"Tiba di Bandar Udara Karel Sadsuitubun Langgur, Kabupaten Maluku Tenggara, Provinsi Maluku pada Rabu, 14 September 2022 sekitar pukul 13.15 WIT, Presiden Jokowi dan Ibu Iriana Jokowi langsung disambut oleh Tari Saryat, kemudian dilanjutkan dengan pengalungan kain tradisional  https://t.co/PZiiSOmObI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
38,Pembangunan desa dimulai dari petani yg hebat..  #GusMuhaiminRembukTani @jokowi @halimiskandarnu  @taufikmadjid71  @malik_haramain  @imansyukri  @LuthfiyahNurla1  @yusradaridesa @SukoyoKasekpro  https://t.co/uaEiROLsa5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
39,@Safran28033054 @jokowi @halimiskandarnu @taufikmadjid71 @malik_haramain @imansyukri @LuthfiyahNurla1 @yusradaridesa @SukoyoKasekpro @robbybule81 Rembug tani untuk penguatan produksi pertanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
40,@Binsaragih1 @PartaiSocmed @susipudjiastuti @jokowi  https://t.co/nBb5yKGv3V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
41,Jokowi sebut sumber daya alam Indonesia harus dimanfaatkan untuk kepentingan bangsa.  #Crypto  #PETERDOxJENO  seulgi Philippines iOS 16 I LOVE YOU jinyoung V FOR VOGUE KOREA  https://t.co/jWEdXty4tb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
42,"Jokowi Bentuk Tim Gabungan Urus Bjorka, Pakar Siber: Kan Sudah Ada BSSN -  https://t.co/h11IY9F9lz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
43,"@KompasTV Ganjar presiden, Jokowi wakil presiden. Pasti tidak terkalahkan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
44,"@Abduh_07 Dari segi hkm, jelas tdk boleh, apalagi dari segi etika. Presiden &amp; wapres 1 paket, jika stlh dilantik Presiden mninggal, Wapres naik jadi Presiden. Maka membaca Ps.7 UUD hrs sistematis &amp; kntekstual, jngan cuma titik koma. Intinya Presid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
45,"@Wandystjk Bgm negara MERESPON INI, apa TETAP SAKLAK dgn SKB 2 Menteri ?.@jokowi @YaqutCQoumas @kemendagri @mohmahfudmd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
46,Rezim Jokowi Panik  https://t.co/qMFlPnI6X8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
47,Jokowi wayangnya Megawati dalangnya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
48,@jokowi Bodo amat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
49,"@pengarang_sajak Seharusnya Effendi Simbolon di-PAW oleh @PDI_Perjuangan, orang ini sudah terlalu sering membuat pernyataan kontroversial termasuk ke presiden @jokowi. Apakah orang ini memang sengaja disusupkan? Bukankah dia dibesarkan oleh Bimantara dan ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
50,@jokowi Jangan balik lagi ya Pak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
51,Jokowi jadi tokoh Dunia   #Jokowi #MembangunNKRI #IndonesiaMembangun  https://t.co/nLvNl0gkkX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
52,@Binsaragih1 @PartaiSocmed @susipudjiastuti Jadi tau kenapa menteri seperti Ibu Susi tidak dilanjut menjabat oleh @jokowi  https://t.co/Jdi9hTx4b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
53,"@Miduk17 Jokowi janji buatn stadion, tuntas oleh pak Anis. Jokowi janji selesaikan mcat dan banjir,tuntas oleh pak Anis, Jokowi janji sembako murah, tuntas oleh pak Anis,... Insya Allah,pak Anis presiden, semua janji Jokowi akan diselesaikan pak Anis, dan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
54,Rezim Jokowi Panik  https://t.co/qSIDGk1liq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
55,Rezim Jokowi Panik  https://t.co/W8lOUkR6QG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
56,Fiasco layanan imigrasi: Jokowi ancam ganti dirjen  https://t.co/7qUK6XDyPx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
57,@jokowi  https://t.co/4pCssEQlAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
58,@erickthohir @jokowi Kaimana papua barat  https://t.co/IDPWWbhFCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
59,PDIP: Pak Jokowi Bisa Jadi Cawapres 2024 Tapi Syaratnya . . .  https://t.co/pjLMaoBW5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
60,"Kelu rasanya mau nulis status soal penghapusan listrik 450 VA. Saya jadi ingat dulu orang² di gunung2  yg kebanyakan orang miskin di Jawa Timur , saya tanya milih siapa ? Milih Pak Jokowi ! Kenapa? Karena selain BLT , listrik mereka yg 450 VA tidak membayar alias gratis abunemen.  https://t.co/L1WQoQI8SQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
61,@BangQodier @Mencaricinta99 @jokowi Data penduduk sdh byk disalah gunakan...tapi ngeles terus mereka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
62,"@jokowi bagi sembako nilainya gk seberapa...   perjalan naik pesawat dan rombongan itu biayanya setara DD 1 kecamatan...  mending gk usah pergi2 pak, biayanya tf aja ke seluruh desa bergiliran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
63,#RembukTaniSeMalangRaya  @jokowi  @cakimiNOW  @halimiskandarnu  @taufikmadjid71  @malik_haramain  @yusradaridesa  @Brigade01Arwan1  @Nurhamz25186363  https://t.co/dKay8SIZ0t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
64,TRANS7: RT @trans7club: Petisi ini secara terbuka untuk Presiden Jokowi beserta jajaran yang berwenang. Petisi yang berjudul  'Basmi Polusi Suara di Canggu'akibat pada pencemaran suara hingga jam 4 pagi.   Baca petisi selengkapnya …  https://t.co/nHJqy6efaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
65,Ttg bidadari terkait QS 51:49 bagi para jomblo/jomblowati dan duda/janda. Jika sdh punya suami/istri? Jgn nambah pula bidadari. Blm jika bininya 4. Maruk nian Cc @_ekokuntadhi @na_dirs @mohmahfudmd @ListyoSigitP @faizalassegaf @Ayang_Utriza @YaqutCQoumas @jokowi @puanmaharani_ri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
66,"Penyesuaian harga BBM, Presiden Jokowi bagikan #BLTBBM Keadilan Subsidi Untuk Rakyat  https://t.co/C07AJABgxd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
67,@Mdy_Asmara1701 JOKOWI 3 PERIODE DONG...!!!  AWAS KEJANG KEJANG !!! 😄😁😆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
68,"Masih ingat ketika presiden Jokowi mendatangi Kyiv, Ukraina? ternyata Mas Harry Susilo (Ilo) juga ada di sana.  Kata mas Ilo, baru kali ini bisa liput dan duduk bersama presiden sesantai itu, bisa pakai topi lagi 😆 Ini juga jadi liputan eksklusif, hanya @hariankompas ! @masboi  https://t.co/QNMtU38F5i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
69,@jokowi Cebong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
70,eh pak jokowi gue liat2 mirip pakde wisnu heheheheheheh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
71,"Tiba di Bandar Udara Karel Sadsuitubun Langgur, Kab Maluku Tenggara, Prov. Maluku pada Rabu, 14 September 2022 sekitar pukul 13.15  (WIT), Presiden @jokowi dan Ibu Iriana Joko Widodo langsung disambut oleh Tari Saryat, kemudian dilanjutkan dengan pengalungan kain tradisional.  https://t.co/B3QXlgczyI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
72,"@FurqonBilly @sayhidayat3 @ex_AnakLolina @FraksiPKB @cakimiNOW @PDI_Perjuangan @puanmaharani_ri @KSPgoid @PolhukamRI @Puspen_TNI @BNPTRI @jokowi @BungkusTukang Kamu tinggal dimana ,sekolah yg bener baru sok ngerti pemerintahan, tugas pemimpin negara ya me",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
73,"@jokowi pak @jokowi mohon untuk di buatkan pintu pemberhentian rell kerata api untuk kendaraan roda dua\empat untuk keselamat bersama, karena masih banyak di beberapa daerah belum tersedia pintu pembatas tersebut, terimakasih pak mohon untuk di tindak lan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
74,@NegaraKKN @jokowi Kan ada buzerRp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
75,"@Gayatri_nkri Orang ini harusnya sudah di-PAW oleh @PDI_Perjuangan, dia terlalu sering membuat pernyataan yang kontroversial termasuk ke presiden @jokowi. Dia dibesarkan oleh Bimantara, tahu kan siapa pemilik Bimantara?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
76,@geloraco Kerjaan pak Jokowi dan para menteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
77,"@antonrck @detikcom @rofiansyah @jokowi @ImigrasiJaktim kalo ini saya yakin, jangan pernah meragukan pelayanan publik pemerintah.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
78,@jokowi Statement nya kayak ga ada apa2 gituuu ya ini Jokowi 😅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
79,Presiden @jokowi  lanjutkan hilirisasi nikel untuk kemakmuran masyarakat.  #PembangunanMakinMerata  #IndonesiaBangkit  MiracleInCell No7 | Eko Kuntadhi | Ning Imaz | Mabuk | Effendi Simbolon | PSSI | Nongshim Bulgogi | ngaku2 NU | prabowo fokus kerja | iOS 16  https://t.co/RqlsZZElax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
80,"@golan_five98 @3rwin__34 @yosnggarang @jokowi rupanya bego bisa juga masif, terstruktur &amp; sistematis  gegara kecewa akut akibat kekalahan pilihan politiknya 😂  @abu_waras",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
81,"@geloraco mari amati dg seksama siapa yg lebih DIHARGAI rezim @jokowi, 1/ketum ganjarist @_ekokuntadhi atau 2/@nahdlatululama?  @ganjarpranowo @AliNgabalinNew @UGMYogyakarta @Unair_Official @its_campus @undip @11MaretUniv @UB_Official @unyofficial @NajwaS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
82,Presiden @jokowi  menerima penghargaan Global Citizen Award.  #PembangunanMakinMerata  #IndonesiaBangkit  MiracleInCell No7 | Eko Kuntadhi | Ning Imaz | Mabuk | Effendi Simbolon | PSSI | Nongshim Bulgogi | ngaku2 NU | prabowo fokus kerja | iOS 16  https://t.co/BdTdvs87ds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
83,"@BungCalo @HukumDan Tidak ada yg dimanipulasi, krn presiden sbnrnja adalah prabowo &amp; jokowi sbgai legal elected itu sudah diputuskan sblm pemilu, krn di lapangan org condong ke jokowi &amp; untuk memuluskan vaksin, misal prabowo maksa2 vaksin, apakah ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
84,"@AikHoki @erickthohir @kempanrb @KemenBUMN @BKNgoid @jokowi @KASN_RI @prastow @basuki_btp @muhadjir_ef @mohmahfudmd @puanmaharani_ri @DPR_RI Kdg utk subsidi sdh ada temuan² BPK RI th sebelumnya,lama ga ditindaklanjut, pas mau ada pemeriksaan BPK RI turun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
85,"@kompascom Emang kalau ada yg usung jd Cawapres, Pak @jokowi mau gitu?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
86,Presiden @jokowi  membentuk tim khusus untuk respons serangan Bjorka.  #PembangunanMakinMerata  #IndonesiaBangkit  MiracleInCell No7 | Eko Kuntadhi | Ning Imaz | Mabuk | Effendi Simbolon | PSSI | Nongshim Bulgogi | ngaku2 NU | prabowo fokus kerja | iOS 16  https://t.co/6IfWMOKeLq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
87,@UyokBack Akew sudah berani mengadu domba semenjak negeri dipimpin jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
88,"@jaksapedia @KejaksaanRI tandatanda kiamat udah deket,dikasih amanah buat nyalurin donasi ke orang yang benerbener membutuhkan,eh diedie pada malah nilep,bahkan denger2 ada duit donasi yang gadikasihin orangnya sama sekali @jokowi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
89,Program PKH era @jokowi  dinilai dapat menurunkan angka kemiskinan.  #PembangunanMakinMerata  #IndonesiaBangkit  MiracleInCell No7 | Eko Kuntadhi | Ning Imaz | Mabuk | Effendi Simbolon | PSSI | Nongshim Bulgogi | ngaku2 NU | prabowo fokus kerja | iOS 16  https://t.co/Yd7YjT5rtk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
90,@M45Broo_ Lanjutkan tongkat kepemimpinana Pak Jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
91,"@hariankompas Salah satu dosa terbesar Pak Jokowi adalah mengganti bu @susipudjiastuti dengan koruptor. Apa yang telah di mulai dan diperbaiki oleh Bu Susi dulu, hancur sudah.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
92,"@yo2thok Udah, kpn mau ikut demo langsung turunkan Jokowi ? Seluruh element masyarakat hrs kompak. Adu data sdh dibuka banyak ahli, tinggal tunggu yg bernyali turun krn panggilan ibu pertiwi !!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
93,@4zuurr444_05h1N Siapapun Presidennya pasti akan ada hutang.... bedanya zaman Jokowi kelihatan hasilnya....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
94,"Bakal Dibuka Presiden Jokowi, Ini Rangkaian Acara Munas XI KAHMI di Sulteng  https://t.co/s7mNFN6NU4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
95,@bumnbersatu @tni_ad @jokowi @LOVE_AG4EVER__ @budimandjatmiko @HarisRuslyMoti @ChusnulCh__ @aniesbaswedan @DonAdam68 @MARQUEZ__93 @_ekokuntadhi @jpnncom Betul pak De.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
96,"@jokowi gaspol pembinaan atlet Menteri Pemuda dan Olahraga Zainudin Amali menegaskan jangan lagi ada mutasi atlet untuk pon,  Ada kecenderungan pada pon-pon sebelumnya terutama dari tuan rumah berambisi menang dan medali sebanyak-banyaknya  https://t.co/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
97,@ferkwee Salah jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
98,"@4zuurr444_05h1N Hinaan,makian,hujatan serendah yang kalian bisa kepada Bpk Preaiden @jokowi sebab di situlah terdapat kehebatan beliau&amp;ingatlah bhw satu saat hal serupa akan anda rasakan sendiri bahkan turun temurun oke Jokowi is the best.....",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
99,"@AtmoWikarto @detikcom @rofiansyah @jokowi @ImigrasiJaktim Saya yakin teman2 di kantor @ImigrasiJaktim sedang berusaha memberikan pelayanan dan jalan keluar terbaik, ya gak Min? @ImigrasiJaktim 😁",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
100,@M45Broo_ Jokowi seumur hidup plis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
101,"Menteri Koordinator Bidang Politik, Hukum dan Keamanan (Menko Polhukam) @mohmahfudmd menjelaskan alasan pembentukan tim khusus (timsus) penanganan peretas atau hacker Bjorka.  @PlateJohnny @kemkominfo @jokowi  https://t.co/69uW6Xk0zD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
102,@jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
103,@jokowi Kemaluku kekampunh saya kapan pak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
104,"Jangan pilih Jokowi lagi cuma kena tipu, hati hati.. Dia egosentrik, etnosentik, dan narsisitik, Dia sellau ingin jadi pusat perhatian, Dah itu gak paham agama, bahaya.. Aqidah dan TAuhidnya cemmnana..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
105,"Dengan didukung Golkar, Jokowi akan memenangkan suara di atas 65 persen dalam Pemilu 2019 mendatang. #GolkarSolid  https://t.co/ZLhsidZFwh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
106,@jokowi Pak..President Tuhan bserta bpak dlm tugas..d keluarga...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
107,*Maka riuhlah jagat politik nasional. Pandangan langsung mengarah ke Presiden Jokowi. Ada apa kok MK tiba-tiba menyuarakan hal sensitif itu. Juru bicara memang bukan ketua MK. Tapi juru bicara adalah corong resmi MK.*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
108,Pembangunan desa dimulai dari petani yg hebat #GusMuhaiminRembukTani @jokowi @halimiskandarnu  @taufikmadjid71  @malik_haramain  @imansyukri  @LuthfiyahNurla1  @yusradaridesa  https://t.co/7q7BCaoejN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
109,"@AtmoWikarto @detikcom @rofiansyah @jokowi @ImigrasiJaktim Hmmm, padahal persyaratan sesuai kemajuan teknologi dan digitalisasi di era 4.0 berupa macam2 KERTAS POTOKOPIAN sudah dipenuhi yaa, tapi masih kurang juga... yang sabar Om 😅",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
110,Rezim Jokowi Panik: baca selengkapnya di berita rmoljatim : Rezim Jokowi Panik    #rmoljatim #rmol #rmolid #beritarmol #rmolupdate #rmolnetwork #surabayaupdate #jatimprovgoid #infojatim #infosurabaya #beritaterkini #republikmerdeka #indonesiaupdate…  https://t.co/djpVVk2Vct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
111,"Menurut @mohmahfudmd, data yang dibocorkan Bjorka bersifat umum. Namun, pembentukan timsus diperlukan untuk melindungi rahasia negara. @kemkominfo @jokowi @PlateJohnny  https://t.co/zqNLFAzYj3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
112,@AntiCukong @jokowi sepertinua beliau waktu itu menyindir masadepan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
